Age_Category,Gender,Occupational_Status,Annual_Salary,State,City,Latitude,Longitude,Residence,OTT_Platforms
21-30,Female,Student,,West Bengal,Kolkata,22.5411,88.3378,Metrpolitan,Netflix
21-30,Female,Student,,West Bengal,Kolkata,22.5411,88.3378,Metrpolitan,Amazon Prime
21-30,Female,Student,,West Bengal,Kolkata,22.5411,88.3378,Metrpolitan,Disney+ Hotstar
21-30,Female,Student,,West Bengal,Kolkata,22.5411,88.3378,Metrpolitan,Zee5
21-30,Female,Student,,West Bengal,Kolkata,22.5411,88.3378,Metrpolitan,SonyLIV
21-30,Female,Student,,Kerala,Kottayam,9.5916,76.5222,Town/City,Netflix
21-30,Female,Student,,Kerala,Kottayam,9.5916,76.5222,Town/City,3rd party websites
21-30,Female,Student,,Bihar,Madhubani,26.3483,86.0712,Town/City,Netflix
21-30,Female,Student,,Bihar,Madhubani,26.3483,86.0712,Town/City,Amazon Prime
21-30,Female,Student,,Bihar,Madhubani,26.3483,86.0712,Town/City,Disney+ Hotstar
21-30,Female,Student,,Bihar,Madhubani,26.3483,86.0712,Town/City,Voot
11-20,Female,Student,,Kerala,Ernakulam,9.9816,76.2999,Town/City,Netflix
11-20,Female,Student,,Kerala,Ernakulam,9.9816,76.2999,Town/City,Amazon Prime
11-20,Female,Student,,Kerala,Ernakulam,9.9816,76.2999,Town/City,Disney+ Hotstar
11-20,Female,Student,,Kerala,Ernakulam,9.9816,76.2999,Town/City,Zee5
11-20,Female,Student,,Kerala,Ernakulam,9.9816,76.2999,Town/City,SonyLIV
11-20,Female,Student,,Jharkhand,Ranchi,23.3556,85.3347,Town/City,Netflix
11-20,Female,Student,,Jharkhand,Ranchi,23.3556,85.3347,Town/City,Amazon Prime
11-20,Female,Student,,Jharkhand,Ranchi,23.3556,85.3347,Town/City,Disney+ Hotstar
21-30,Male,Student,,Kerala,Ernakulam,9.9816,76.2999,Town/City,Netflix
21-30,Male,Student,,Kerala,Ernakulam,9.9816,76.2999,Town/City,Amazon Prime
21-30,Male,Student,,Kerala,Ernakulam,9.9816,76.2999,Town/City,Disney+ Hotstar
21-30,Male,Student,,Kerala,Ernakulam,9.9816,76.2999,Metrpolitan,Netflix
21-30,Male,Student,,Kerala,Ernakulam,9.9816,76.2999,Metrpolitan,Amazon Prime
21-30,Male,Student,,Kerala,Ernakulam,9.9816,76.2999,Metrpolitan,Disney+ Hotstar
11-20,Female,Student,,Haryana,Kundli,28.8676,77.118,Town/City,Netflix
11-20,Female,Student,,Haryana,Kundli,28.8676,77.118,Town/City,Disney+ Hotstar
11-20,Female,Student,,Haryana,Kundli,28.8676,77.118,Town/City,Zee5
11-20,Female,Student,,Haryana,Kundli,28.8676,77.118,Town/City,Other
31-40,Male,Employed,less than 1 lakh,Kerala,Ernakulam,9.9816,76.2999,Rural,Netflix
31-40,Male,Employed,less than 1 lakh,Kerala,Ernakulam,9.9816,76.2999,Rural,Amazon Prime
21-30,Male,Unemployed,,Bihar,Motihari,26.6438,84.904,Town/City,Netflix
21-30,Male,Unemployed,,Bihar,Motihari,26.6438,84.904,Town/City,Amazon Prime
21-30,Male,Unemployed,,Bihar,Motihari,26.6438,84.904,Town/City,Disney+ Hotstar
21-30,Male,Unemployed,,Bihar,Motihari,26.6438,84.904,Town/City,Voot
21-30,Female,Student,,Uttar Pradesh,Kanpur,26.4499,80.3319,Town/City,Netflix
21-30,Female,Student,,Kerala,Ernakulam,9.9816,76.2999,Metrpolitan,Netflix
21-30,Female,Student,,Bihar,Patna,25.61,85.1414,Town/City,Disney+ Hotstar
21-30,Female,Employed,between 1 and  3 lakhs,Karnataka,Bangalore,12.9699,77.598,Town/City,Netflix
41-50,Female,Employed,less than 1 lakh,Delhi,Palam,28.5901,77.0888,Town/City,Netflix
11-20,Female,Student,,Kerala,Ernakulam,9.9816,76.2999,Metrpolitan,Netflix
21-30,Female,Student,,West Bengal,Kolkata,22.5411,88.3378,Metrpolitan,Disney+ Hotstar
21-30,Female,Student,,West Bengal,Kolkata,22.5411,88.3378,Metrpolitan,Zee5
21-30,Female,Student,,West Bengal,Kolkata,22.5411,88.3378,Metrpolitan,Voot
21-30,Female,Student,,West Bengal,Kolkata,22.5411,88.3378,Metrpolitan,Viki Rakuten
21-30,Female,Student,,West Bengal,Kolkata,22.5411,88.3378,Metrpolitan,Other
21-30,Male,Employed,more than 9 lakhs,Karnataka,Bangalore,12.9699,77.598,Town/City,Netflix
21-30,Male,Employed,more than 9 lakhs,Karnataka,Bangalore,12.9699,77.598,Town/City,Amazon Prime
21-30,Male,Student,,Delhi,Delhi,28.66,77.23,Metrpolitan,Netflix
21-30,Male,Student,,Delhi,Delhi,28.66,77.23,Metrpolitan,Amazon Prime
21-30,Male,Student,,Delhi,Delhi,28.66,77.23,Metrpolitan,Disney+ Hotstar
11-20,Female,Student,,Tamil Nadu,Coimbatore,11,76.9667,Metrpolitan,Netflix
11-20,Female,Student,,Tamil Nadu,Coimbatore,11,76.9667,Metrpolitan,Amazon Prime
11-20,Female,Student,,Haryana,Sonipat,28.9958,77.0114,Town/City,Disney+ Hotstar
41-50,Male,Employed,less than 1 lakh,Kerala,Ernakulam,9.9816,76.2999,Town/City,Amazon Prime
11-20,Male,Employed,less than 1 lakh,Karnataka,Maddur,12.5867,77.0453,Town/City,Amazon Prime
21-30,Female,Student,,Telangana,Hyderabad,17.3667,78.4667,Town/City,Netflix
21-30,Female,Student,,Telangana,Hyderabad,17.3667,78.4667,Town/City,Amazon Prime
21-30,Female,Student,,Telangana,Hyderabad,17.3667,78.4667,Town/City,Disney+ Hotstar
61-70,Female,Unemployed,,Kerala,Ernakulam,9.9816,76.2999,Rural,Netflix
61-70,Female,Unemployed,,Kerala,Ernakulam,9.9816,76.2999,Rural,Amazon Prime
61-70,Female,Unemployed,,Kerala,Ernakulam,9.9816,76.2999,Rural,Disney+ Hotstar
11-20,Male,Student,,Delhi,Naraina,28.632,77.1389,Metrpolitan,Netflix
11-20,Male,Student,,Delhi,Naraina,28.632,77.1389,Metrpolitan,Amazon Prime
11-20,Male,Student,,Delhi,Naraina,28.632,77.1389,Metrpolitan,Disney+ Hotstar
21-30,Female,Student,,Kerala,Thodupuzha,9.8959,76.7184,Rural,Netflix
21-30,Female,Student,,Kerala,Thodupuzha,9.8959,76.7184,Rural,Amazon Prime
21-30,Male,Employed,between 3 and 6 lakhs,Karnataka,Bangalore,12.9699,77.598,Rural,Netflix
21-30,Male,Employed,between 3 and 6 lakhs,Karnataka,Bangalore,12.9699,77.598,Rural,Amazon Prime
21-30,Male,Employed,between 3 and 6 lakhs,Karnataka,Bangalore,12.9699,77.598,Rural,Disney+ Hotstar
21-30,Male,Student,,Karnataka,Maddur,12.5867,77.0453,Town/City,Amazon Prime
21-30,Male,Student,,Rajasthan,Kukanwali,27.23,74.9852,Rural,Amazon Prime
11-20,Female,Student,,Maharashtra,Thane,19.18,72.9633,Town/City,Netflix
11-20,Female,Student,,Maharashtra,Thane,19.18,72.9633,Town/City,Disney+ Hotstar
21-30,Female,Student,,Tamil Nadu,Coimbatore,11,76.9667,Town/City,Amazon Prime
21-30,Female,Student,,Tamil Nadu,Coimbatore,11,76.9667,Town/City,Disney+ Hotstar
21-30,Male,Employed,less than 1 lakh,Tamil Nadu,Coimbatore,11,76.9667,Town/City,Netflix
21-30,Male,Employed,less than 1 lakh,Tamil Nadu,Coimbatore,11,76.9667,Town/City,Amazon Prime
21-30,Male,Employed,less than 1 lakh,Tamil Nadu,Coimbatore,11,76.9667,Town/City,Disney+ Hotstar
21-30,Male,Employed,less than 1 lakh,Tamil Nadu,Coimbatore,11,76.9667,Town/City,Zee5
21-30,Male,Employed,less than 1 lakh,Tamil Nadu,Coimbatore,11,76.9667,Town/City,SonyLIV
31-40,Female,Employed,less than 1 lakh,Kerala,Kochi,9.9667,76.2833,Town/City,Netflix
11-20,Female,Student,,Delhi,Laxmi Nagar,28.6276,77.2784,Metrpolitan,Netflix
11-20,Female,Student,,Delhi,Laxmi Nagar,28.6276,77.2784,Metrpolitan,Amazon Prime
11-20,Female,Student,,Delhi,Laxmi Nagar,28.6276,77.2784,Metrpolitan,3rd party websites
21-30,Female,Employed,between 1 and  3 lakhs,Haryana,Gurugram,28.4595,77.0266,Metrpolitan,Netflix
21-30,Female,Employed,between 1 and  3 lakhs,Haryana,Gurugram,28.4595,77.0266,Metrpolitan,Amazon Prime
21-30,Female,Employed,between 1 and  3 lakhs,Karnataka,Mangalore,12.8703,74.8806,Town/City,Amazon Prime
21-30,Female,Unemployed,,Karnataka,Mangalore,12.8703,74.8806,Town/City,Netflix
21-30,Male,Student,,Gujarat,Vadodara,22.3,73.2,Town/City,Netflix
21-30,Female,Student,,Maharashtra,Thane,19.18,72.9633,Metrpolitan,Amazon Prime
21-30,Female,Student,,Maharashtra,Thane,19.18,72.9633,Metrpolitan,Disney+ Hotstar
21-30,Female,Student,,Maharashtra,Thane,19.18,72.9633,Town/City,Netflix
21-30,Male,Employed,more than 9 lakhs,Gujarat,Vadodara,22.3,73.2,Town/City,Netflix
51-60,Male,Employed,more than 9 lakhs,Kerala,Thrissur,10.52,76.21,Town/City,Netflix
51-60,Male,Employed,more than 9 lakhs,Kerala,Thrissur,10.52,76.21,Town/City,Amazon Prime
11-20,Female,Student,,Kerala,Kochi,9.9667,76.2833,Metrpolitan,Netflix
11-20,Female,Student,,Kerala,Kochi,9.9667,76.2833,Metrpolitan,Amazon Prime
21-30,Male,Employed,between 1 and  3 lakhs,Gujarat,Vadodara,22.3,73.2,Town/City,Netflix
21-30,Male,Employed,between 1 and  3 lakhs,Gujarat,Vadodara,22.3,73.2,Town/City,Amazon Prime
21-30,Male,Student,,Gujarat,Vadodara,22.3,73.2,Town/City,Netflix
21-30,Female,Student,,Karnataka,Mangalore,12.8703,74.8806,Town/City,Netflix
21-30,Female,Student,,Karnataka,Mangalore,12.8703,74.8806,Town/City,Amazon Prime
21-30,Female,Student,,Karnataka,Mangalore,12.8703,74.8806,Town/City,Disney+ Hotstar
21-30,Female,Student,,Karnataka,Mangalore,12.8703,74.8806,Town/City,Zee5
21-30,Male,Student,,Karnataka,Bangalore,12.9699,77.598,Metrpolitan,Netflix
21-30,Male,Student,,Karnataka,Bangalore,12.9699,77.598,Metrpolitan,Amazon Prime
41-50,Female,Unemployed,,Karnataka,Mangalore,12.8703,74.8806,Town/City,Netflix
41-50,Female,Unemployed,,Karnataka,Mangalore,12.8703,74.8806,Town/City,Amazon Prime
41-50,Female,Unemployed,,Karnataka,Mangalore,12.8703,74.8806,Town/City,Voot
21-30,Female,Student,,Gujarat,Vadodara,22.3,73.2,Town/City,Netflix
21-30,Female,Student,,Gujarat,Vadodara,22.3,73.2,Town/City,Amazon Prime
21-30,Female,Student,,Gujarat,Vadodara,22.3,73.2,Town/City,Voot
21-30,Male,Student,,Karnataka,Mandya,12.5242,76.8958,Rural,Netflix
21-30,Male,Student,,Karnataka,Mandya,12.5242,76.8958,Rural,Amazon Prime
21-30,Male,Student,,Karnataka,Mandya,12.5242,76.8958,Rural,Disney+ Hotstar
21-30,Male,Student,,Karnataka,Mandya,12.5242,76.8958,Rural,Zee5
21-30,Male,Student,,Karnataka,Mandya,12.5242,76.8958,Rural,Voot
21-30,Male,Employed,between 3 and 6 lakhs,Karnataka,Bangalore,12.9699,77.598,Town/City,Netflix
41-50,Female,Unemployed,,Kerala,Thrissur,10.52,76.21,Town/City,Netflix
41-50,Female,Unemployed,,Kerala,Thrissur,10.52,76.21,Town/City,Amazon Prime
51-60,Male,Employed,less than 1 lakh,Kerala,Thrissur,10.52,76.21,Town/City,Netflix
11-20,Male,Student,,Bihar,Jehanabad,25.2133,84.9853,Town/City,MX player
21-30,Male,Employed,between 3 and 6 lakhs,Karnataka,Bangalore,12.9699,77.598,Metrpolitan,Telegram
21-30,Female,Student,,Karnataka,Mangalore,12.8703,74.8806,Town/City,Netflix
21-30,Female,Student,,Karnataka,Mangalore,12.8703,74.8806,Town/City,Amazon Prime
21-30,Female,Student,,Karnataka,Mangalore,12.8703,74.8806,Town/City,Disney+ Hotstar
21-30,Female,Student,,Karnataka,Mangalore,12.8703,74.8806,Town/City,Zee5
21-30,Male,Student,,Gujarat,Vadodara,22.3,73.2,Town/City,Netflix
21-30,Male,Student,,Kerala,Kochi,9.9667,76.2833,Town/City,Amazon Prime
21-30,Male,Employed,between 3 and 6 lakhs,Karnataka,Bangalore,12.9699,77.598,Town/City,Netflix
21-30,Male,Employed,between 3 and 6 lakhs,Karnataka,Bangalore,12.9699,77.598,Town/City,Amazon Prime
21-30,Male,Employed,between 3 and 6 lakhs,Karnataka,Bangalore,12.9699,77.598,Town/City,Disney+ Hotstar
21-30,Male,Employed,between 3 and 6 lakhs,Karnataka,Bangalore,12.9699,77.598,Town/City,Zee5
21-30,Male,Employed,less than 1 lakh,Karnataka,Bangalore,12.9699,77.598,Metrpolitan,Amazon Prime
21-30,Male,Employed,between 3 and 6 lakhs,Karnataka,Bangalore,12.9699,77.598,Metrpolitan,Netflix
21-30,Male,Employed,between 3 and 6 lakhs,Karnataka,Bangalore,12.9699,77.598,Metrpolitan,Amazon Prime
21-30,Male,Student,,Karnataka,Ramanagar,12.7209,77.2799,Town/City,Netflix
21-30,Male,Student,,Karnataka,Ramanagar,12.7209,77.2799,Town/City,Amazon Prime
11-20,Male,Student,,Kerala,Kochi,9.9667,76.2833,Metrpolitan,Netflix
11-20,Male,Student,,Kerala,Kochi,9.9667,76.2833,Metrpolitan,Amazon Prime
11-20,Male,Student,,Kerala,Kochi,9.9667,76.2833,Metrpolitan,Disney+ Hotstar
11-20,Male,Student,,Kerala,Kochi,9.9667,76.2833,Metrpolitan,Zee5
21-30,Male,Student,,Kerala,Kochi,9.9667,76.2833,Town/City,Netflix
11-20,Female,Student,,Kerala,Ernakulam,9.9816,76.2999,Town/City,Netflix
11-20,Female,Student,,Kerala,Ernakulam,9.9816,76.2999,Town/City,Amazon Prime
11-20,Female,Student,,Kerala,Ernakulam,9.9816,76.2999,Town/City,Disney+ Hotstar
61-70,Male,Retired,,Kerala,Thrissur,10.52,76.21,Town/City,Amazon Prime
61-70,Male,Retired,,Karnataka,Bangalore,12.9699,77.598,Metrpolitan,Netflix
61-70,Male,Retired,,Karnataka,Bangalore,12.9699,77.598,Metrpolitan,Amazon Prime
61-70,Male,Retired,,Karnataka,Bangalore,12.9699,77.598,Metrpolitan,Disney+ Hotstar
61-70,Male,Retired,,Karnataka,Bangalore,12.9699,77.598,Metrpolitan,SonyLIV
21-30,Male,Student,,Kerala,Ernakulam,9.9816,76.2999,Rural,Amazon Prime
21-30,Male,Student,,Kerala,Ernakulam,9.9816,76.2999,Rural,3rd party websites
11-20,Female,Student,,West Bengal,Siliguri,26.72,88.42,Town/City,Netflix
11-20,Female,Student,,West Bengal,Siliguri,26.72,88.42,Town/City,Amazon Prime
11-20,Female,Student,,West Bengal,Siliguri,26.72,88.42,Town/City,Disney+ Hotstar
11-20,Female,Student,,West Bengal,Siliguri,26.72,88.42,Town/City,Zee5
11-20,Female,Student,,West Bengal,Siliguri,26.72,88.42,Town/City,SonyLIV
21-30,Male,Student,,Maharashtra,Dombivli,19.2094,73.0939,Town/City,Netflix
21-30,Male,Student,,Maharashtra,Dombivli,19.2094,73.0939,Town/City,Amazon Prime
61-70,Female,Retired,,Kerala,Thrissur,10.52,76.21,Town/City,Netflix
61-70,Female,Retired,,Kerala,Thrissur,10.52,76.21,Town/City,Amazon Prime
61-70,Female,Retired,,Kerala,Thrissur,10.52,76.21,Town/City,Disney+ Hotstar
21-30,Female,Employed,between 3 and 6 lakhs,Maharashtra,Thane,19.18,72.9633,Metrpolitan,Netflix
21-30,Female,Employed,between 3 and 6 lakhs,Maharashtra,Thane,19.18,72.9633,Metrpolitan,Amazon Prime
11-20,Female,Student,,Kerala,Chaganasserry,9.4465,76.5402,Town/City,YouTube
11-20,Female,Student,,Kerala,Chaganasserry,9.4465,76.5402,Town/City,Telegram
41-50,Female,Unemployed,,Kerala,Ernakulam,9.9816,76.2999,Town/City,Amazon Prime
21-30,Female,Unemployed,,Karnataka,Mysore,12.3086,76.6531,Town/City,Netflix
11-20,Female,Unemployed,,Kerala,Ernakulam,9.9816,76.2999,Town/City,Netflix
11-20,Female,Unemployed,,Kerala,Ernakulam,9.9816,76.2999,Town/City,Amazon Prime
11-20,Female,Unemployed,,Kerala,Ernakulam,9.9816,76.2999,Town/City,Disney+ Hotstar
21-30,Female,Employed,between 3 and 6 lakhs,Karnataka,Mangalore,12.8703,74.8806,Town/City,Netflix
21-30,Female,Employed,between 3 and 6 lakhs,Karnataka,Mangalore,12.8703,74.8806,Town/City,Amazon Prime
21-30,Female,Employed,between 3 and 6 lakhs,Karnataka,Mangalore,12.8703,74.8806,Town/City,Disney+ Hotstar
21-30,Female,Employed,between 3 and 6 lakhs,Karnataka,Mangalore,12.8703,74.8806,Town/City,Voot
21-30,Female,Employed,between 6 and 9 lakhs,Karnataka,Bangalore,12.9699,77.598,Town/City,Netflix
21-30,Female,Employed,between 6 and 9 lakhs,Karnataka,Bangalore,12.9699,77.598,Town/City,Zee5
11-20,Female,Unemployed,,Kerala,Kottayam,9.5916,76.5222,Town/City,Amazon Prime
11-20,Female,Unemployed,,Kerala,Kottayam,9.5916,76.5222,Town/City,Disney+ Hotstar
21-30,Male,Employed,less than 1 lakh,Kerala,Ernakulam,9.9816,76.2999,Town/City,Telegram
21-30,Female,Employed,between 1 and  3 lakhs,Kerala,Ernakulam,9.9816,76.2999,Town/City,Amazon Prime
21-30,Female,Employed,between 1 and  3 lakhs,Kerala,Ernakulam,9.9816,76.2999,Town/City,Disney+ Hotstar
21-30,Male,Unemployed,,Kerala,Kozhikode,11.2588,75.7804,Town/City,Netflix
21-30,Male,Unemployed,,Kerala,Kozhikode,11.2588,75.7804,Town/City,Amazon Prime
21-30,Male,Unemployed,,Kerala,Kozhikode,11.2588,75.7804,Town/City,Disney+ Hotstar
21-30,Female,Unemployed,,Kerala,Kollam,8.9969,76.8721,Rural,Telegram
11-20,Male,Unemployed,,Kerala,Ernakulam,9.9816,76.2999,Town/City,Netflix
21-30,Male,Self Employed,less than 1 lakh,Karnataka,Bangalore,12.9699,77.598,Metrpolitan,Amazon Prime
21-30,Male,Self Employed,less than 1 lakh,Karnataka,Bangalore,12.9699,77.598,Metrpolitan,Disney+ Hotstar
21-30,Male,Unemployed,,Kerala,Ernakulam,9.9816,76.2999,Town/City,Netflix
21-30,Male,Self Employed,less than 1 lakh,Gujarat,Vadodara,22.3,73.2,Town/City,Netflix
21-30,Male,Self Employed,less than 1 lakh,Gujarat,Vadodara,22.3,73.2,Town/City,Amazon Prime
21-30,Male,Self Employed,less than 1 lakh,Gujarat,Vadodara,22.3,73.2,Town/City,Disney+ Hotstar
21-30,Male,Self Employed,less than 1 lakh,Gujarat,Vadodara,22.3,73.2,Town/City,SonyLIV
21-30,Male,Self Employed,less than 1 lakh,Kerala,Bangalore,12.9699,77.598,Town/City,Netflix
21-30,Male,Unemployed,,Karnataka,Bangalore,12.9699,77.598,Metrpolitan,Netflix
21-30,Male,Unemployed,,Karnataka,Bangalore,12.9699,77.598,Metrpolitan,Amazon Prime
21-30,Male,Employed,less than 1 lakh,Karnataka,Bangalore,12.9699,77.598,Metrpolitan,Telegram
21-30,Male,Unemployed,,Karnataka,Bangalore,12.9699,77.598,Metrpolitan,Telegram
11-20,Female,Unemployed,,Kerala,Kottayam,9.5916,76.5222,Town/City,Netflix
11-20,Female,Unemployed,,Kerala,Kottayam,9.5916,76.5222,Town/City,Disney+ Hotstar
11-20,Female,Unemployed,,Kerala,Kottayam,9.5916,76.5222,Town/City,Voot
21-30,Female,Unemployed,,Gujarat,Vadodara,22.3,73.2,Town/City,Amazon Prime
11-20,Male,Unemployed,,Kerala,Ernakulam,9.9816,76.2999,Town/City,Netflix
11-20,Male,Unemployed,,Kerala,Ernakulam,9.9816,76.2999,Town/City,Amazon Prime
11-20,Male,Unemployed,,Kerala,Kochi,9.9667,76.2833,Metrpolitan,Netflix
11-20,Male,Unemployed,,Kerala,Kochi,9.9667,76.2833,Metrpolitan,Amazon Prime
11-20,Male,Unemployed,,Kerala,Kochi,9.9667,76.2833,Metrpolitan,Disney+ Hotstar
11-20,Male,Unemployed,,Kerala,Kochi,9.9667,76.2833,Metrpolitan,SonyLIV
21-30,Male,Student,,Kerala,Kannur,11.8745,75.3704,Town/City,Netflix
21-30,Male,Student,,Kerala,Kannur,11.8745,75.3704,Town/City,Amazon Prime
21-30,Male,Student,,Kerala,Kannur,11.8745,75.3704,Town/City,Disney+ Hotstar
11-20,Male,Unemployed,,Kerala,Ernakulam,9.9816,76.2999,Town/City,Disney+ Hotstar
21-30,Female,Student,,Karnataka,Bangalore,12.9699,77.598,Town/City,Netflix
21-30,Female,Student,,Karnataka,Bangalore,12.9699,77.598,Town/City,Amazon Prime
31-40,Female,Employed,between 1 and  3 lakhs,Kerala,Thrissur,10.52,76.21,Metrpolitan,Netflix
31-40,Female,Employed,more than 9 lakhs,Karnataka,Bangalore,12.9699,77.598,Metrpolitan,Netflix
31-40,Female,Employed,more than 9 lakhs,Karnataka,Bangalore,12.9699,77.598,Metrpolitan,Amazon Prime
31-40,Female,Employed,more than 9 lakhs,Karnataka,Bangalore,12.9699,77.598,Metrpolitan,Disney+ Hotstar
11-20,Female,Student,,Kerala,Chaganasserry,9.4465,76.5402,Town/City,Viki Rakuten
21-30,Male,Student,,Kerala,Kannur,11.8745,75.3704,Town/City,Netflix
21-30,Male,Student,,Kerala,Kannur,11.8745,75.3704,Town/City,Amazon Prime
21-30,Male,Student,,Kerala,Kannur,11.8745,75.3704,Town/City,Disney+ Hotstar
21-30,Male,Student,,Karnataka,Chikmagalur,13.3161,75.772,Town/City,Netflix
21-30,Male,Student,,Karnataka,Chikmagalur,13.3161,75.772,Town/City,Amazon Prime
21-30,Male,Student,,Karnataka,Chikmagalur,13.3161,75.772,Town/City,Disney+ Hotstar
21-30,Female,Student,,Karnataka,Mangalore,12.8703,74.8806,Town/City,Netflix
11-20,Male,Student,,Tamil Nadu,Chennai,13.0825,80.275,Metrpolitan,Disney+ Hotstar
21-30,Female,Student,,Uttar Pradesh,Prayagraj,25.4358,81.8463,Town/City,Netflix
21-30,Female,Student,,Uttar Pradesh,Prayagraj,25.4358,81.8463,Town/City,Amazon Prime
21-30,Female,Student,,Uttar Pradesh,Prayagraj,25.4358,81.8463,Town/City,Disney+ Hotstar
21-30,Female,Student,,Kerala,Kannur,11.8745,75.3704,Town/City,Netflix
21-30,Female,Student,,Kerala,Kannur,11.8745,75.3704,Town/City,Disney+ Hotstar
31-40,Female,Employed,between 6 and 9 lakhs,Karnataka,Bangalore,12.9699,77.598,Town/City,Netflix
31-40,Female,Employed,between 6 and 9 lakhs,Karnataka,Bangalore,12.9699,77.598,Town/City,Amazon Prime
31-40,Female,Employed,between 6 and 9 lakhs,Karnataka,Bangalore,12.9699,77.598,Town/City,Zee5
11-20,Male,Student,,Maharashtra,Mumbai,18.9667,72.8333,Metrpolitan,Netflix
11-20,Male,Student,,Maharashtra,Mumbai,18.9667,72.8333,Metrpolitan,Amazon Prime
11-20,Male,Student,,Karnataka,Bangalore,12.9699,77.598,Town/City,Netflix
11-20,Male,Student,,Karnataka,Bangalore,12.9699,77.598,Town/City,Amazon Prime
21-30,Female,Student,,Gujarat,Vadodara,22.3,73.2,Town/City,Netflix
31-40,Male,Employed,more than 9 lakhs,Kerala,Kochi,9.9667,76.2833,Metrpolitan,Netflix
31-40,Male,Employed,more than 9 lakhs,Kerala,Kochi,9.9667,76.2833,Metrpolitan,Amazon Prime
31-40,Male,Employed,more than 9 lakhs,Kerala,Kochi,9.9667,76.2833,Metrpolitan,Disney+ Hotstar
11-20,Female,Student,,Maharashtra,Mumbai,18.9667,72.8333,Metrpolitan,Netflix
11-20,Female,Student,,Maharashtra,Mumbai,18.9667,72.8333,Metrpolitan,Amazon Prime
